Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,LENGTH_(CM),Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,create_date,version,Sample Name,SAMPLE_TYPE,sex,SRA Study,store_cond,Strain,TISSUE
SRR11205494,not collected,RAD-Seq,302,846881386,PRJNA504598,SAMN14148338,Model organism or animal,not applicable,305700394,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818586,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1109,missing,TX_1109,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:23:00Z,1,TX_1109,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205495,not collected,RAD-Seq,302,1659468860,PRJNA504598,SAMN14148337,Model organism or animal,not applicable,610734899,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818585,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1108,57,TX_1108,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,TX_1108,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205496,not collected,RAD-Seq,302,2098508306,PRJNA504598,SAMN14148336,Model organism or animal,not applicable,789051134,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818584,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1107,53.5,TX_1107,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,TX_1107,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205497,not collected,RAD-Seq,302,1162380484,PRJNA504598,SAMN14148335,Model organism or animal,not applicable,429869057,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818583,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1106,missing,TX_1106,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,TX_1106,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205498,not collected,RAD-Seq,302,2718260022,PRJNA504598,SAMN14148334,Model organism or animal,not applicable,1057396583,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818582,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1105,63,TX_1105,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,TX_1105,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205499,not collected,RAD-Seq,302,1402987508,PRJNA504598,SAMN14148333,Model organism or animal,not applicable,522266826,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818581,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1104,53.5,TX_1104,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,TX_1104,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205500,not collected,RAD-Seq,300,2862852825,PRJNA504598,SAMN14148332,Model organism or animal,not applicable,1245865653,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818580,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1103,49,TX_1103,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T15:11:00Z,1,TX_1103,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205501,not collected,RAD-Seq,300,3083702253,PRJNA504598,SAMN14148331,Model organism or animal,not applicable,1333267458,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818579,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1102,54,TX_1102,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T15:15:00Z,1,TX_1102,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205502,not collected,RAD-Seq,302,1512027930,PRJNA504598,SAMN14147836,Model organism or animal,not applicable,550788479,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",2019-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818578,Brazil,South America,Brazil: St. Peter,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1444,69,BRZ_1444,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,BRZ_1444,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,"Fin Clip\, Muscle"
SRR11205503,not collected,RAD-Seq,302,1114987624,PRJNA504598,SAMN14148330,Model organism or animal,not applicable,385010013,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818577,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1101,58,TX_1101,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,TX_1101,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205504,not collected,RAD-Seq,222,164596794,PRJNA504598,SAMN14148329,Model organism or animal,not applicable,71163260,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818576,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 016,58,TX_1101_6,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1101_6,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205505,not collected,RAD-Seq,302,838948752,PRJNA504598,SAMN14148328,Model organism or animal,not applicable,309637141,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818575,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 015,58,TX_1101_5,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:24:00Z,1,TX_1101_5,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205506,not collected,RAD-Seq,222,56685258,PRJNA504598,SAMN14148327,Model organism or animal,not applicable,25210461,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818574,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 014,58,TX_1101_4,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1101_4,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205507,not collected,RAD-Seq,302,993116430,PRJNA504598,SAMN14148326,Model organism or animal,not applicable,385085908,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818573,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 013,58,TX_1101_3,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:24:00Z,1,TX_1101_3,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205508,not collected,RAD-Seq,302,242901318,PRJNA504598,SAMN14148324,Model organism or animal,not applicable,97973675,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818572,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 011,58,TX_1101_1,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1101_1,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205509,not collected,RAD-Seq,302,2298421434,PRJNA504598,SAMN14148323,Model organism or animal,not applicable,804798740,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818571,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1100,55.5,TX_1100,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,TX_1100,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205510,not collected,RAD-Seq,222,44279232,PRJNA504598,SAMN14148322,Model organism or animal,not applicable,19515110,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818570,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 006,55.5,TX_1100_6,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1100_6,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205511,not collected,RAD-Seq,302,1311794078,PRJNA504598,SAMN14148321,Model organism or animal,not applicable,492922871,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818569,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 005,55.5,TX_1100_5,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:24:00Z,1,TX_1100_5,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205512,not collected,RAD-Seq,302,6724417466,PRJNA504598,SAMN14147835,Model organism or animal,not applicable,2495786960,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",2019-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818568,Brazil,South America,Brazil: St. Peter,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1443,69,BRZ_1443,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:46:00Z,1,BRZ_1443,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,"Fin Clip\, Muscle"
SRR11205513,not collected,RAD-Seq,222,23051148,PRJNA504598,SAMN14148320,Model organism or animal,not applicable,10425816,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818567,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 004,55.5,TX_1100_4,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1100_4,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205514,not collected,RAD-Seq,302,798827146,PRJNA504598,SAMN14148319,Model organism or animal,not applicable,321003261,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818566,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 003,55.5,TX_1100_3,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:23:00Z,1,TX_1100_3,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205515,not collected,RAD-Seq,302,205731460,PRJNA504598,SAMN14148317,Model organism or animal,not applicable,83400966,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818565,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 001,55.5,TX_1100_1,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,TRUE,2020-02-28T14:22:00Z,1,TX_1100_1,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205516,not collected,RAD-Seq,271,417026427,PRJNA504598,SAMN14148141,Model organism or animal,not applicable,197225254,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818564,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 938,55.9,PR_938,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:09:00Z,1,PR_938,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205517,not collected,RAD-Seq,222,883960044,PRJNA504598,SAMN14147817,Model organism or animal,not applicable,372225990,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",10/16/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818563,Brazil,South America,Brazil: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1281,57.2,BRZ_1281,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,BRZ_1281,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Muscle
SRR11205518,not collected,RAD-Seq,278,180798981,PRJNA504598,SAMN14148140,Model organism or animal,not applicable,84892024,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818562,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 937,46.9,PR_937,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:05:00Z,1,PR_937,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205519,not collected,RAD-Seq,295,966160033,PRJNA504598,SAMN14148139,Model organism or animal,not applicable,427562532,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818561,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 936,54.7,PR_936,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:28:00Z,1,PR_936,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205520,not collected,RAD-Seq,275,391641924,PRJNA504598,SAMN14148138,Model organism or animal,not applicable,182328486,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818560,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 935,44.7,PR_935,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:12:00Z,1,PR_935,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
